year,imdb,title,clean_test,budget_2013$,binary_PASS,domgross_2013$,genres,prod_comps,overview,perc_women_producers,perc_women_directors
2013,tt1800241,American Hustle,ok,40000000,1,148430908.0,"['Drama', 'Crime']","['Annapurna Pictures', 'Atlas Entertainment', 'Columbia Pictures']","A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia.",0.25,0.0
2013,tt1322269,August: Osage County,ok,25000000,1,37304874.0,"['Comedy', 'Drama']","['Jean Doumanian Productions', 'Smoke House Pictures']","A look at the lives of the strong-willed women of the Weston family, whose paths have diverged until a family crisis brings them back to the Midwest house they grew up in, and to the dysfunctional woman who raised them.",0.2,0.0
2013,tt1559547,Beautiful Creatures,ok,50000000,1,19452138.0,"['Fantasy', 'Drama', 'Romance']","['Alcon Entertainment', 'Belle Pictures', '3 Arts Entertainment', 'Warner Bros. Pictures']","Ethan Wate just wants to get to know Lena Duchannes better, but unbeknownst to him, Lena has strange powers.  As Lena's 16th birthday approaches she might decide her fate, to be good or evil.  A choice which will impact her relationship forever.",0.2,0.0
2013,tt2334873,Blue Jasmine,ok,18000000,1,33345833.0,['Drama'],"['Gravier Productions', 'Perdido Productions']","After experiencing a traumatic misfortune, Jasmine French, a wealthy woman from New York, moves to San Francisco to live with her foster sister Ginger and the firm purpose of getting a new life, but she will be haunted by anxiety and memories of the past.",0.3333333333333333,0.0
2013,tt1535109,Captain Phillips,notalk,55000000,0,107136417.0,"['Action', 'Drama', 'Thriller']","['Columbia Pictures', 'Michael De Luca Productions', 'Scott Rudin Productions', 'Trigger Street Productions']","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",0.0,0.0
2013,tt1939659,Carrie,ok,30000000,1,35266619.0,"['Drama', 'Horror']","['Misher Films', 'Screen Gems', 'Metro-Goldwyn-Mayer']","A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",0.0,1.0
2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen,78000000,0,119640264.0,"['Animation', 'Family', 'Comedy']","['Columbia Pictures', 'Sony Pictures Animation']","After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",0.0,0.0
2013,tt1690953,Despicable Me 2,ok,76000000,1,368065385.0,"['Animation', 'Comedy', 'Family']","['Illumination', 'Universal Pictures']",Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,0.0,0.0
2013,tt2229499,Don Jon,dubious,5500000,0,24477704.0,"['Romance', 'Comedy', 'Drama']","['Ram Bergman Productions', 'HitRecord Films', 'Voltage Pictures']","A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",0.0,0.0
2013,tt1535108,Elysium,ok,120000000,1,93050117.0,"['Science Fiction', 'Action', 'Drama', 'Thriller']","['Genre Films', 'TriStar Pictures', 'MRC', 'QED International', 'Alpha Core', 'Simon Kinberg Productions', 'Sony Pictures']","In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes, a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.",0.0,0.0
2013,tt1731141,Ender&#39;s Game,men,110000000,0,61737191.0,"['Science Fiction', 'Action', 'Adventure']","['Digital Domain', 'Chartoff Productions', 'Taleswapper', 'K/O Paper Products', 'OddLot Entertainment']","Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",0.375,0.0
2013,tt0848537,Epic,ok,100000000,1,107518682.0,"['Animation', 'Adventure', 'Family', 'Fantasy']","['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']",A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.,0.5,0.0
2013,tt0765446,Escape from Planet Earth,ok,40000000,1,57012977.0,"['Animation', 'Comedy', 'Adventure', 'Family', 'Science Fiction']","['Rainmaker Studios', 'Mainframe Entertainment', 'The Weinstein Company']",Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,0.0,0.0
2013,tt1211956,Escape Plan,men,70000000,0,25213103.0,"['Action', 'Thriller']","['Knightsbridge Entertainment', 'Summit Entertainment', 'Atmosphere Entertainment MM', 'EFO Films', 'Mark Canton Productions', 'Envision Entertainment', 'Boies/Schiller Film Group']","Ray Breslin is the world's foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. He's framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars.",0.2,0.0
2013,tt1288558,Evil Dead,ok,17000000,1,54239856.0,['Horror'],"['TriStar Pictures', 'FilmDistrict', 'Ghost House Pictures']","Five young friends find the mysterious and fiercely powerful Book of the Dead, and unable to resist its temptation, release a violent demon on a bloodthirsty quest to possess them all.",0.0,0.0
2013,tt1905041,Fast and Furious 6,ok,160000000,1,238679850.0,"['Action', 'Thriller', 'Crime']","['Universal Pictures', 'Relativity Media', 'Original Film', 'One Race', 'Fuji Television Network', 'F & F VI Productions A.I.E', 'dentsu']","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",0.0,0.0
2013,tt2294629,Frozen,ok,150000000,1,393050114.0,"['Animation', 'Family', 'Adventure', 'Fantasy']","['Walt Disney Pictures', 'Walt Disney Animation Studios']","Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",0.0,0.5
2013,tt1583421,G.I. Joe: Retaliation,ok,140000000,1,122523060.0,"['Science Fiction', 'Adventure', 'Action', 'Thriller']","['Paramount', 'Hasbro', 'Di Bonaventura Pictures', 'Saints LA', 'Metro-Goldwyn-Mayer', 'Skydance Media']","Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",0.0,0.0
2013,tt1321870,Gangster Squad,notalk,60000000,0,46000903.0,"['Crime', 'Drama', 'Action', 'Thriller']","['Village Roadshow Pictures', 'Lin Pictures', 'Langley Park Production', 'Warner Bros. Pictures']","Los Angeles, 1949. Ruthless, Brooklyn-born mob king Mickey Cohen runs the show in this town, reaping the ill-gotten gains from the drugs, the guns, the prostitutes and — if he has his way — every wire bet placed west of Chicago. And he does it all with the protection of not only his own paid goons, but also the police and the politicians who are under his control. It’s enough to intimidate even the bravest, street-hardened cop… except, perhaps, for the small, secret crew of LAPD outsiders led by Sgt. John O’Mara and Jerry Wooters who come together to try to tear Cohen’s world apart.",0.0,0.0
2013,tt2425486,Gloria,ok,30000000,1,4167493.0,"['Comedy', 'Drama']","['Nephilim Producciones', 'Forastero']","Gloria is a 58-year-old divorcée. Her children have all left home but she has no desire to spend her days and nights alone. Determined to defy old age and loneliness, she rushes headlong into a whirl of singles’ parties on the hunt for instant gratification – which only leads to repeated disappointment and enduring emptiness. But when Gloria meets Rodolfo, an ex-naval officer seven years her senior, she begins to imagine the possibility of a permanent relationship.",0.0,0.0
2013,tt1454468,Gravity,nowomen,110000000,0,271814796.0,"['Science Fiction', 'Thriller', 'Drama']","['Esperanto Filmoj', 'Warner Bros. Pictures', 'Heyday Films']","Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",0.0,0.0
2013,tt2191701,Grown Ups 2,men,80000000,0,133668525.0,['Comedy'],"['Columbia Pictures', 'Sony Pictures', 'Happy Madison Productions']","Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",0.0,0.0
2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,ok,50000000,1,55703475.0,"['Fantasy', 'Horror', 'Action']","['Paramount', 'MTV Films', 'Gary Sanchez Productions', 'Studio Babelsberg', 'Metro-Goldwyn-Mayer', 'Deutscher Filmförderfonds']","After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.",0.0,0.0
2013,tt1798709,Her,men,23000000,0,25000178.0,"['Romance', 'Science Fiction', 'Drama']","['Annapurna Pictures', 'Warner Bros. Pictures', 'Ascot Elite - Ascot Life!']","In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",0.3333333333333333,0.0
2013,tt2024432,Identity Thief,men,35000000,0,134506920.0,"['Comedy', 'Crime']","['Stuber Productions', 'Aggregate Films', 'DumbDumb', 'Universal Pictures']","When a mild-mannered businessman learns his identity has been stolen, he hits the road in an attempt to foil the thief -- a trip that puts him in the path of a deceptively harmless-looking woman.",0.3333333333333333,0.0
2013,tt2226417,Insidious: Chapter 2,men,5000000,0,83586447.0,"['Horror', 'Thriller']","['FilmDistrict', 'Blumhouse Productions', 'Stage 6 Films', 'Entertainment One', 'Alliance Films']",The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,0.0,0.0
2013,tt1300854,Iron Man 3,dubious,200000000,0,408992272.0,"['Action', 'Adventure', 'Science Fiction']",['Marvel Studios'],"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",0.0,0.0
2013,tt1351685,Jack the Giant Slayer,nowomen,195000000,0,65187603.0,"['Fantasy', 'Action', 'Adventure', 'Family']","['New Line Cinema', 'Legendary Pictures', 'Original Film', 'Big Kid Pictures', 'Bad Hat Harry Productions', 'Warner Bros. Pictures']","The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",0.0,0.0
2013,tt1650554,Kick-Ass 2,ok,28000000,1,28795985.0,"['Action', 'Adventure', 'Crime']","['Marv Films', 'Universal Pictures', 'dentsu', 'Plan B Entertainment']","After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.",0.0,0.0
2013,tt1204975,Last Vegas,notalk,28000000,0,63914167.0,['Comedy'],"['Gidden Media', 'CBS Films', 'Good Universe', 'Laurence Mark Productions', 'Outlaw Sinema', 'Mandate International']","Aging pals Billy, Paddy, Archie, and Sam have been best friends since childhood. When Billy finally proposes to his much-younger girlfriend, all four friends go to Las Vegas to celebrate the end of Billy's longtime bachelorhood and relive their glory days. However, the four quickly realize that the intervening decades have changed Sin City and tested their friendship in ways they had not imagined.",0.0,0.0
2013,tt1327773,Lee Daniels&#39; The Butler,ok,30000000,1,116632095.0,['Drama'],"['Follow Through Productions', 'Salamander Pictures', 'Laura Ziskin Productions', 'Lee Daniels Entertainment', 'Pam Williams Productions', 'Windy Hill Pictures']","A look at the life of Cecil Gaines who served eight presidents as the White House's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made.",0.2,0.0
2013,tt2002718,Machete Kills,ok,2000000,1,8008161.0,"['Action', 'Crime', 'Thriller']","['Open Road Films', 'Overnight Films', 'AR Films', 'Aldamisa Entertainment', 'Demarest Films', '1821 Pictures', 'Quick Draw Productions', 'Universal Pictures']",Ex-Federale agent Machete is recruited by the President of the United States for a mission which would be impossible for any mortal man – he must take down a madman revolutionary and an eccentric billionaire arms dealer who has hatched a plan to spread war and anarchy across the planet.,0.0,0.0
2013,tt2023587,Mama,ok,15000000,1,71628180.0,['Horror'],"['Universal Pictures', 'Toma 78', 'De Milo']","Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.",0.5,0.0
2013,tt0770828,Man of Steel,ok,225000000,1,291045518.0,"['Action', 'Adventure', 'Science Fiction']","['DC Entertainment', 'Syncopy', 'Peters Entertainment', 'Warner Bros. Pictures']","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",0.5,0.0
2013,tt1821549,Nebraska,ok,12000000,1,17482517.0,"['Drama', 'Adventure']","['Paramount Vantage', 'Bona Fide Productions']","An aging, booze-addled father takes a trip from Montana to Nebraska with his estranged son in order to claim what he believes to be a million-dollar sweepstakes prize.",0.0,0.0
2013,tt1670345,Now You See Me,notalk,75000000,0,117723989.0,"['Thriller', 'Crime']","['Summit Entertainment', 'K/O Paper Products', 'SOIXAN7E QUIN5E', 'See Me Louisiana']",An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,0.0,0.0
2013,tt1483013,Oblivion,men,120000000,0,89107235.0,"['Action', 'Science Fiction', 'Adventure', 'Mystery']","['Universal Pictures', 'Relativity Media', 'Monolith Pictures (III)', 'Chernin Entertainment', 'Radical Studios']","Jack Harper is one of the last few drone repairmen stationed on Earth. Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete. His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft. Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",0.0,0.0
2013,tt2302755,Olympus Has Fallen,notalk,70000000,0,98927592.0,"['Action', 'Thriller']","['Millennium Films', 'G-BASE', 'Nu Image']","When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",0.0,0.0
2013,tt1623205,Oz the Great and Powerful,ok,200000000,1,234770996.0,"['Fantasy', 'Adventure', 'Family']","['Roth Films', 'Walt Disney Pictures']","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",0.0,0.0
2013,tt1663662,Pacific Rim,notalk,190000000,0,101802906.0,"['Action', 'Science Fiction', 'Adventure']","['Double Dare You Productions', 'Legendary Pictures']","Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes who now stand as earth's final hope against the mounting apocalypse.",0.25,0.0
2013,tt1980209,Pain &amp; Gain,notalk,26000000,0,49875291.0,"['Action', 'Crime', 'Comedy']","['Paramount', 'De Line Pictures']","Daniel Lugo, manager of the Sun Gym in 1990s Miami, decides that there is only one way to achieve his version of the American dream: extortion. To achieve his goal, he recruits musclemen Paul and Adrian as accomplices. After several failed attempts, they abduct rich businessman Victor Kershaw and convince him to sign over all his assets to them. But when Kershaw makes it out alive, authorities are reluctant to believe his story.",0.0,0.0
2013,tt1904996,Parker,ok,35000000,1,17616641.0,"['Action', 'Crime']","['Incentive Filmed Entertainment', 'Sierra/Affinity', 'Alexander/Mitchell Productions', 'Current Entertainment', 'Sidney Kimmel Entertainment', 'Anvil Films']","A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",0.0,0.0
2013,tt1699755,Peeples,dubious,15000000,0,9177065.0,['Comedy'],"['34th Street Films', 'Homegrown Pictures']",The story follows what happens when a child psychologist surprises his girlfriend by showing up at her political family's annual get-together at their Sag Harbor vacation home only to find them desperately in need of therapy.,0.2,1.0
2013,tt1854564,Percy Jackson: Sea of Monsters,ok,90000000,1,68559554.0,"['Adventure', 'Family', 'Fantasy']","['Fox 2000 Pictures', 'Sunswept Entertainment', '1492 Pictures', 'TSG Entertainment']","In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",0.5,0.0
2013,tt1392214,Prisoners,ok,46000000,1,61002302.0,"['Drama', 'Thriller', 'Crime']","['Madhouse Entertainment', 'Alcon Entertainment', '8:38 Productions', 'Warner Bros. Pictures', 'Summit Entertainment']","Keller Dover faces a parent's worst nightmare when his 6-year-old daughter, Anna, and her friend go missing. The only lead is an old motorhome that had been parked on their street. The head of the investigation, Detective Loki, arrests the driver, but a lack of evidence forces Loki to release his only suspect. Dover, knowing that his daughter's life is at stake, decides that he has no choice but to take matters into his own hands.",0.0,0.0
2013,tt0790736,R.I.P.D.,notalk,130000000,0,33618855.0,"['Fantasy', 'Action', 'Comedy', 'Crime']","['Universal Pictures', 'Dark Horse Entertainment', 'Original Film']",A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.,0.0,0.0
2013,tt1821694,Red 2,ok,84000000,1,53262560.0,"['Action', 'Comedy', 'Crime', 'Thriller']","['Di Bonaventura Pictures', 'Summit Entertainment', 'DC Comics', 'DC Entertainment', 'Saints LA', 'NeoReel', 'Etalon-Film']",Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,0.0,0.0
2013,tt1411250,Riddick,notalk,38000000,0,42025135.0,"['Science Fiction', 'Action', 'Thriller']","['One Race', 'Riddick Canada Productions', 'Radar Pictures', 'Universal Pictures']","Betrayed by his own kind and left for dead on a desolate planet, Riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before. Soon bounty hunters from throughout the galaxy descend on Riddick only to find themselves pawns in his greater scheme for revenge. With his enemies right where he wants them, Riddick unleashes a vicious attack of vengeance before returning to his home planet of Furya to save it from destruction.",0.3333333333333333,0.0
2013,tt2364841,Runner Runner,nowomen,30000000,0,19316646.0,"['Crime', 'Thriller', 'Drama']","['Regency Enterprises', 'Double Feature Films', 'Appian Way', 'Stone Village Pictures', 'New Regency Pictures']","When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.",0.2857142857142857,0.0
2013,tt1979320,Rush,notalk,38000000,0,26947624.0,"['Drama', 'Action']","['Double Negative', 'Exclusive Media', 'Cross Creek Pictures', 'Revolution Films', 'Working Title Films', 'Imagine Entertainment', 'Universal Pictures']",A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,0.0,0.0
2013,tt1702439,Safe Haven,ok,28000000,1,71399120.0,"['Romance', 'Thriller']","['Relativity Media', 'Temple Hill Entertainment']","A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.",0.0,0.0
2013,tt2140373,Saving Mr. Banks,ok,35000000,1,82834332.0,"['Comedy', 'Drama', 'History']","['Hopscotch Features', 'Walt Disney Pictures', 'Ruby Films', 'Essential Media and Entertainment', 'BBC Film']","Author P.L. Travers looks back on her childhood while reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",0.3333333333333333,0.0
2013,tt2053463,Side Effects,ok,30000000,1,32172757.0,"['Thriller', 'Crime', 'Drama']","['Di Bonaventura Pictures', 'Endgame Entertainment']",A woman turns to prescription medication as a way of handling her anxiety concerning her husband's upcoming release from prison.,0.0,0.0
2013,tt1408101,Star Trek Into Darkness,notalk,190000000,0,228778661.0,"['Action', 'Adventure', 'Science Fiction']","['Bad Robot', 'Paramount', 'Kurtzman/Orci', 'Skydance Media']","When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",0.0,0.0
2013,tt1572315,Texas Chainsaw 3D,ok,20000000,1,34341945.0,"['Horror', 'Thriller']","['Nu Image', 'Lionsgate', 'Millennium Films']","A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",0.0,0.0
2013,tt1931435,The Big Wedding,ok,32500000,1,21819348.0,['Comedy'],"['Millennium Films', 'Two Ton Films']","To the amusement of their adult children and friends, long divorced couple Don and Ellie Griffin are once again forced to play the happy couple for the sake of their adopted son's wedding after his ultra conservative biological mother unexpectedly decides to fly halfway across the world to attend. With all of the wedding guests looking on, the Griffins are hilariously forced to confront their past, present and future - and hopefully avoid killing each other in the process.",0.0,0.0
2013,tt0816442,The Book Thief,ok,19000000,1,21345525.0,['Drama'],"['Studio Babelsberg', 'Fox 2000 Pictures', 'Sunswept Entertainment']","While subjected to the horrors of WWII Germany, young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home, a Jewish refugee is being sheltered by her adoptive parents.",0.5,0.0
2013,tt1911644,The Call,ok,13000000,1,51872378.0,"['Crime', 'Thriller']","['TriStar Pictures', 'WWE Studios', 'Troika Pictures', 'Stage 6 Films', 'Amasia Entertainment']","Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abducted in the back of a man's car and calls 911, Jordan is the one called upon to use all of her experience, insights and quick thinking to help Casey escape, and not just to save her, but to make sure the man is brought to justice.",0.0,0.0
